p_id,reviewer,review_head,review_text,star,Positive,Negative,neutral,compound
flipkart1,SUSHIL KUMAR YADAV,Absolute rubbish!,My watsapp camera is not working properly on the watsapp video call purpale colour coming and law quality,1,0,0,1,0
flipkart1,Archit  Singh ,Super!,Pretty good but battery backup not good in new,5,0.568,0,0.432,0.7845
flipkart1,Ruve Timung,Just okay,Heating issue is majorHeat ups even without gaming,3,0,0,1,0
flipkart1,Tuna Sahu,Worth the money,Excellent 👌 camera and excellent battery performance and fast charging good display best price phone go for it,4,0.527,0,0.473,0.9382
flipkart1,Deepak Kumar,Just wow!,Good product And best performance,5,0.703,0,0.297,0.7964
flipkart1,Flipkart Customer,Wonderful,Good pro,5,0.744,0,0.256,0.4404
flipkart1,Flipkart Customer,Perfect product!,Nice phone,5,0.737,0,0.263,0.4215
flipkart1,uttam k,Worth every penny,Very Good *****,5,0.615,0,0.385,0.4927
flipkart1,Umesh  Makwana,Moderate,The phone hangs without any heavy application.Not stable os.I personally don't like phone performance.,2,0.135,0.129,0.736,0.0232
flipkart1,Shashank Rastogi,Best in the market!,Selfie camera is not goodMain camera is excellent Heating issue with this phone Rest all are good in this range.,5,0.268,0,0.732,0.765
flipkart1,Mandeep  Saini ,Simply awesome,Value for money,5,0.545,0,0.455,0.34
flipkart1,Jalaluddin Akbar,Really Nice,I am very happy with this mobile I was waiting for this kind of mobile for long time,4,0.21,0,0.79,0.6115
flipkart1,Brajakishore Mahalik,Classy product,Nice motorola phone and thanks you flipkark  ❤️❤️,5,0.487,0,0.513,0.6908
flipkart1,Digvijay Kabsuri,Terrific,"Looks are amazing, camera is superb and overall experience with this phone is very good. Battery backup should be improved.... I think 5000mAh will be good. But otherwise phone is excellent 👌",5,0.362,0,0.638,0.9216
flipkart1,Rashmith kota,Must buy!,Super Worth in 30k,5,0.744,0,0.256,0.7003
flipkart1,Hetal Gohel,Highly recommended,It has the latest technology and the performance is really awesome. I like it a lot.,5,0.374,0,0.626,0.8004
flipkart1,Jitendra Sisodiya,Must buy!,Nice mobile great cemara and superb look and feel and design,5,0.579,0,0.421,0.9001
flipkart1,fahad siddiqui,Simply awesome,"The phone is flawless overall, but it tends to heat up slightly when running apps for extended periods.",5,0.112,0,0.888,0.2846
flipkart1,Flipkart Customer,Fabulous!,Good Trust worthy,5,1,0,0,0.8442
flipkart1,Sonu Kumar,Waste of money!,Item not performing as expected,1,0,0,1,0
flipkart1,Flipkart Customer,Good choice,View good looking excellent camera,4,0.688,0,0.312,0.765
flipkart1,Aniket Sharma,Terrific purchase,Awesome product camera performance is top notch,5,0.541,0,0.459,0.7096
flipkart1,jay  patel,Terrific purchase,nice product very good services,5,0.666,0,0.334,0.7178
flipkart1,kolagatla  vykuntam ,Decent product,"Mobile is good , heating issues 👀 When charging , using time",3,0.266,0,0.734,0.4404
flipkart1,Rahul Das,Value-for-money,"1st of all the phone needs an update to fix some common bugs in the camera app, The camera is very good but the app is laggy, the same problem doesn't with the g cam(AGC 9.2). IT'S buttery smooth in g cam.The new control centre is slow in animation and not so eye pleasing as the old one. It needs an update to fix the laggyness.Overall it's a complete package in this price range, Motorola is doing fabulous in the hardware section, hope they will give some update to fix those bugs soon....",4,0.102,0.073,0.825,0.4631
flipkart1,surendra nath,Slightly disappointed,Heating issue was there,2,0,0,1,0
flipkart1,Flipkart Customer,Highly recommended,Nice camera.,5,0.737,0,0.263,0.4215
flipkart1,shakeeb shaa,Worth for money.... Best phone in this price range..,"Worth for money, good display, good batteryonly thing is accidental touches are happening...Rest all are good",4,0.463,0.057,0.48,0.8519
flipkart1,Ravi  Bhatia,Must buy!,There can be no better phone than Moto phone. Its camera and features are the best. No phone can compete with Moto in this price range,5,0.212,0.131,0.657,0.5719
flipkart1,Krishna V,Wonderful,"All Good with Moderate Usage 👍 Good Camera Super Display, Average Battery But Super Fast Charge.",4,0.515,0,0.485,0.8934
flipkart1,Munazir  Alam,Awesome,Best smart phone Camera bawal Camera 5/5Battery 5/4Performance 5/5Look 5/5,5,0.463,0,0.537,0.7845
flipkart1,Flipkart Customer,Good choice,All are very good camera processor using but battery is above average over all very good phone worth mobile,4,0.363,0,0.637,0.8455
flipkart1,Dev Desai,Mind-blowing purchase,Money for valuable phone 😍😍,5,0.437,0,0.563,0.4767
flipkart1,Prabhat  Ranjan,Great product,Good performance and great work,5,0.7,0,0.3,0.7906
flipkart1,Vibha  Sharma ,Fabulous!,Waoooooo,5,0,0,1,0
flipkart1,Dillu Meena,Perfect product!,Awesome good quality..👌🏻❤️,5,0.875,0,0.125,0.7906
flipkart1,Mohammed Siddequi,Perfect product!,Very good camera quality and performance,5,0.39,0,0.61,0.4927
flipkart1,Krishna Mandi,Fabulous!,Amazing product Di's price bracket value for money camera display design and build quality osam but performance descent,5,0.204,0,0.796,0.4767
flipkart1,Rajeev Sodadasu,Could be way better,Mobile desine is very nice but 📷 camera not satisfactory.,2,0.175,0.228,0.598,-0.1577
flipkart1,Dev Jangdey,Terrific purchase,"Moto is coming to the market with great 👍 price offering best features, go with it 😉 and 💯% value for money product byu now amazing 🤩",5,0.42,0,0.58,0.9382
flipkart1,Shubham Singh,Just wow!,Good,5,1,0,0,0.4404
flipkart1,Flipkart Customer,Value-for-money,Great phone.,4,0.804,0,0.196,0.6249
flipkart1,Ravi Yadav,Delightful,Very cool and smart,4,0.735,0,0.265,0.6764
flipkart1,Quamar Reza,Terrific purchase,Camera centric and a little bit performance has been added with snapdragon 7 gen 3. Battery should be a little more.,5,0,0,1,0
flipkart1,Rajesh,Just okay,Heating issues while charging,3,0,0,1,0
flipkart1,sulakhan  bhardwaj ,Did not meet expectations,The speakers of the phone got damaged within a week.The phone hangs sometimes.,1,0,0.209,0.791,-0.4404
flipkart1,Yuvi Damor,Delightful,Best camera and performance,4,0.583,0,0.417,0.6369
flipkart1,Maruthi B G,Nice product,Really it's a wonderful mobile.. Value for moneyReally worth it... need to enhance the battery capacity..Good product form motto,4,0.356,0,0.644,0.8062
flipkart1,Sonu Kanojiya,Classy product,Phone's design is on top 🔥Camera also clicking quiet good photos I've seen rare getter but that's not gonna say camera is bad in the segment camera is killerAlso moto software is pretty good with good features plus not so much garbage in the phone And the display just love it I can say I did not waste my money right now let's see in the future how does this performance oh performance is also good plus it's depends on you how u use it overall is complete package,5,0.255,0.043,0.702,0.9727
flipkart1,Banesh Gajji,Nice,ProsCameraDesign Display ConsHanging Battery Not a gaming phone Too costlyHeatingToo many features which are not required ex wireless charging.,3,0,0,1,0
flipkart1,Flipkart Customer,Terrible product,I am facing call drop issue very frequently.,1,0,0.259,0.741,-0.2732
flipkart1,Pratik Jain,Very Good,The mobile is nice. Camera is good. Battery lasts for a day. Due to curve screen operation gets abit hampered as was not used to curve screen. Rest all features incl Moto Community is gr8.,4,0.233,0,0.767,0.8555
flipkart1,Yashraj  Srivastava,Don't waste your money,Don't buy it camra sometimes work sometimes didn't When you open portrait mode phone will hang 100 % and close automatically if your need not related camera then buy it....,1,0,0,1,0
flipkart1,venkat ch,Simply awesome,Dont believe experts reviews. We can use it. Really good,5,0.262,0,0.738,0.4927
flipkart1,SAJAL  MANDAL,Just wow!,Fabulous performanceAmazing picturesDisign 💙,5,0.63,0,0.37,0.5267
flipkart1,Flipkart Customer,Terrific purchase,Worth buying it...! Best in its segment with all flagship features.,5,0.493,0,0.507,0.7777
flipkart1,Arnav Verma,Terrific,Motorola is doing good with phones If you are looking for the one then go for it Gentle reminder to moto co. Please improve bugs and rollout updates timly,5,0.306,0,0.694,0.875
flipkart1,Prashant  Kumar,Mind-blowing purchase,Nice camera,5,0.737,0,0.263,0.4215
flipkart1,Flipkart Customer,Excellent,All good but the phone is heating while charging except that everything is worth varma worthuu,5,0.235,0,0.765,0.5106
flipkart1,Naresh kumar  saini,Very Good,Nice camera,4,0.737,0,0.263,0.4215
flipkart1,Kabir Amb,Must buy!,Very good camera and phone is really coolOnly  heating issue which is definitely solve after update,5,0.372,0,0.628,0.7713
flipkart1,Ashwani Sharma,Simply awesome,"This phone is very good, and I have been using this phone for a few days. The quality of the camera is very good...",5,0.132,0,0.868,0.4927
flipkart1,Jagat  Satish,Simply awesome,Good,5,1,0,0,0.4404
flipkart1,Kamal,Absolute rubbish!,"my mobile device due to persistent issues while recording 4K video. The video frequently freezes during recording, and when attempting to use 3x optical zoom in 4K mode, the autofocus function fails to work, resulting in blurry images. This issue extends to taking photos as well. These recurring problems significantly impact the device's functionality and usability.",1,0.058,0.13,0.812,-0.5267
flipkart1,Shaikh  Wajahat,Very Good,Camera quality is very good 😊,4,0.444,0,0.556,0.4927
flipkart1,Saransh Kumar,Mind-blowing purchase,"The design and look of the phone is good. Performance wise also it is meeting the expectations.The only downside so far I have seen is the battery. Battery drains out really quick. Somehow who uses the phone for a longer time, might need to charge it twice in a day.",5,0.115,0.038,0.846,0.6124
flipkart1,Lalit Kumar,Worthless,Heating problem,1,0,0.73,0.27,-0.4019
flipkart1,Praveen  Kumar,Awesome,Super CameraSuper performanceOveral good mobilebut battery downRating 4.5/5,5,0.531,0,0.469,0.7783
flipkart1,Subhankar Bhadra,Worth every penny,"Absolute value for money!The look and feel of the phone is amazing. The only downside is the camera app, which is sometimes laggy.",5,0.228,0.07,0.702,0.6696
flipkart1,SUBHAM BHAGAT,Highly recommended,One of the best phone in this price range 😍,5,0.344,0,0.656,0.6369
flipkart1,Ankur Bhardwaj,Simply awesome,Nice camera,5,0.737,0,0.263,0.4215
flipkart1,Blesson Karackattu ,Must buy!,"Performance base there is no lag or any fluctuations...The only thing I felt not ok is about the screen colours...There maybe settings to fix. I did set it to vivid and natural but seems small reddish colour to screen for white. Or it maybe for prevention from damage to eyes. If anyone know, please say. Everything else is good for me. I loved the camera and smell",5,0.176,0.115,0.709,0.7818
flipkart1,Rojina  Khatun,Best in the market!,Lovely fon 🥰,5,0.792,0,0.208,0.5859
flipkart1,Sudipta  Mondal,Very Good,Super displayTakes much time while processing photoPhoto quality superPerformance and battery good,4,0.405,0,0.595,0.7783
flipkart1,Rajeev Ambastha,Just wow!,"Very good mobile. display very smooth, camera descent and performance is nice.",5,0.375,0,0.625,0.7178
flipkart1,Nitin Rajput,Worth the money,"This product from Motorola is amazing and specially charging speed in 68 watt charger is good if you go with 125 watt the smartphone little bit heat up and overall is good and the phone have lot of features like ip68,camera,processor,storage overall I give 9.5 out of 10.",4,0.22,0,0.78,0.9022
flipkart1,Veerabhadra  Badiger,Wonderful,"Superb phone allrounder, I don't worried about updates,Ver good in this range.",5,0.526,0,0.474,0.8355
flipkart1,Druthi Das,Must buy!,Value for the 💰,5,0.545,0,0.455,0.34
flipkart1,Deepak Mahant,Delightful,Gretenst smartphone value for money productI am very happy,4,0.477,0,0.523,0.7501
flipkart1,VAISHAK DIVAKARAN A K,Good choice,Good for the money,4,0.492,0,0.508,0.4404
flipkart1,sunny singh,Fabulous!,Impressive camera 👍,5,0.767,0,0.233,0.5106
flipkart1,Ranganath  S,Not recommended at all,This is nonsense phone overheating issue you feel like you are holding iron box and HDR is very pathetic and feel like watching normal resolution video. There is no grip and very slippery.,1,0.119,0.212,0.668,-0.5984
flipkart1,Rakesh kumar  Sain ,Terrific,Cool nd nice 👍,5,0.836,0,0.164,0.6249
flipkart1,hardik  chouhan,Slightly disappointed,"Product is moderate to be true ..i am using it since one month Motorola's services are pathetic ..they didnt even provided a single update since launch even after promising there are many gitters in camera , lag issues and a huge amount of heating issues while doing simple tasks  ....there are many companies like nothing which provided many updates in nothing 2(a) after excepting the problems in there phone ...but moto do not do it . Disappointed wasted 28000",2,0.141,0.132,0.726,-0.0377
flipkart1,Harsh Vardhan,Fabulous!,Good.,5,1,0,0,0.4404
flipkart1,Abhishek Kumar,Terrible product,most poor product i have ever seen. I received this phone on 05/05/2024 at 6pm and it has stopped working on 07/05/2024 at 5:30pm. what a poor performance.,1,0,0.283,0.717,-0.8265
flipkart1,Bijaya meher,Mind-blowing purchase,Mobile is super but charging time mobile very hot,5,0.234,0,0.766,0.3506
flipkart1,Flipkart Customer,Very poor,Seriously don't buy Motorola phone keyboard not working properly and automatic switch off and something its hanging,1,0,0.096,0.904,-0.1779
flipkart1,Ananth Smart,Very Good,Good phone.battery worst.,4,0.362,0.512,0.125,-0.296
flipkart1,Mitesh Darji,Nice product,Very good budget phone but heating issue at side metal body,4,0.173,0,0.827,0.2724
flipkart1,Flipkart Customer,Worth every penny,Best product in this price,5,0.512,0,0.488,0.6369
flipkart1,Vishal chaudhary,Classy product,Battery is not good Otherwise everything is osm,5,0,0.256,0.744,-0.3412
flipkart1,Rajput Hitesh Kumar,Mind-blowing purchase,Allrounder in each and every department...,5,0,0,1,0
flipkart1,Shibam Gupta,Does the job,There is no screen guard in my box. Battery drains too fast and also heated up during charging. Camera is not upto the mark. Flipkart takes almost 15 days to deliver my phone.,3,0,0.064,0.936,-0.296
flipkart1,Srikar Balaka,Highly recommended,Value for money. Best mobile in budget.,5,0.569,0,0.431,0.765
flipkart1,SIDDHESHWAR AWARE,Great product,Best camera,5,0.808,0,0.192,0.6369
flipkart1,Chandra Kumar,Horrible,"Worst camera, battery eating in 30 min, sim not working properly.. dnt waste money",1,0,0.365,0.635,-0.7845
flipkart1,Kumar M,Very Good,Super product good display,4,0.773,0,0.227,0.7783
flipkart1,sreekanth p,Terrific,Super product,5,0.796,0,0.204,0.5994
flipkart1,Pradeep Reddy,Brilliant,Excellent phone 📱 Overall excellent 👌,5,0.787,0,0.213,0.8126
flipkart1,Sudip Kundu,Classy product,Good product 😄👍👍👍👍,5,0.592,0,0.408,0.4404
flipkart1,vijitha karmasena,Terrific purchase,Net or wifi not working remedy please Phone is heating well Camera is good loved it,5,0.389,0.086,0.525,0.7869
flipkart1,GADAMSETTI NARASIMHA,Very Good,Nice mobile but small small issue,4,0.275,0,0.725,0.2263
flipkart1,Aamir Khan,Really Nice,Amazing product 😀,4,0.792,0,0.208,0.5859
flipkart1,Ajay Srivastava ,Just okay,"Awesome mobile, but battery draining issueOur rating on this phone:-Camera 3/5.Battery 3/5.Display 5/5.Design 5/5.Performance 5/5.Build quality 5/5.Look awesome 5/5.",1,0.325,0,0.675,0.8481
flipkart1,Flipkart Customer,Absolute rubbish!,"Received defective product, microphone is not working.",1,0,0.326,0.674,-0.4404
flipkart1,Gaurav Prabhu,Just wow!,Overall a very good phone with a nice camera and display. Battery could have been better and pricing should be 2000 less.,5,0.343,0,0.657,0.8357
flipkart1,Anand Iyer,Terrific purchase,"Great Product, Little less than Flagship Phone.",5,0.4,0.112,0.488,0.607
flipkart1,Rahul Nm,Worth every penny,Really awesome all-rounder phone in 30k. Best multimedia experiance and good camera . Display is very good.,5,0.545,0,0.455,0.9371
flipkart1,Nanjundeshwara K K,Don't waste your money,It has heating issue.Camera is not upto the mark.There is some issue with network,1,0,0,1,0
flipkart1,anand  narayan ,Just wow!,Camera is too good,5,0.492,0,0.508,0.4404
flipkart1,gunvant abasana,Classy product,Super fast delivery arrived 3 days earlier thanks  nice product,5,0.615,0,0.385,0.8625
flipkart1,Jaymin Panchal,Wonderful,Best in the segment.,5,0.583,0,0.417,0.6369
flipkart1,Vikas Chinchole,Mind-blowing purchase,Excellent Mobile,5,0.787,0,0.213,0.5719
flipkart1,Kumar R,Good quality product,premium smart phone,4,0.574,0,0.426,0.4019
flipkart1,Ananthkrishnan J,Wonderful,It's a nice phone overall.,4,0.483,0,0.517,0.4215
flipkart1,B.Rajasekhar  B.Rajasekhar ,Terrific purchase,Best one by Moto,5,0.583,0,0.417,0.6369
flipkart1,Flipkart Customer,Not recommended at all,"Motorola as a company has failed, their policies and their product is just so sub par. Especially their service, so pathetic. The company just wants to make money by releasing okayish phones advertising one single element that's just so so and has nothing more than that on their phones. I'm very disappointed and I suggest no one should buy Motorola ever again.",1,0,0.196,0.804,-0.9278
flipkart1,VIPIN CHAUHAN,Don't waste your money,Gets overheated.Hangs a lot.Camera crashes in video mode.,1,0,0,1,0
flipkart1,Binmaya Biswal,Awesome,Superb phone but the delivery agent refused to delivery at doorstep,1,0.178,0.195,0.627,-0.0644
flipkart1,Nandhini Dravid,Hated it!,"Phone when fully charged it's automatically turned off, it's every time",1,0,0.173,0.827,-0.2716
flipkart1,Yuvaraja M,Worth every penny,"Design, camera, display are really superb..Wireless charging, Ip68 are yet to used. Just a week with this phone..Processor and battery could be improved.",5,0.129,0,0.871,0.4767
flipkart1,Naga Satyanarayana Akkireddi,Fabulous!,Very good,5,0.762,0,0.238,0.4927
flipkart1,Sanowar Mondal,Fabulous!,Value for money.,5,0.545,0,0.455,0.34
flipkart1,Kenpe Bagra,Wonderful,Camera superb over all good,4,0.7,0,0.3,0.7906
flipkart1,Gaibu  Kaladagi ,Best in the market!,Awesome Mobile,5,0.804,0,0.196,0.6249
flipkart1,Sarwar Rahaman,Wonderful,"Battery could have been better, otherwise, this phone completely justified it's price",4,0.371,0,0.629,0.7089
flipkart1,Tarun Sharma,Great product,Good product. M happy,5,0.868,0,0.132,0.765
flipkart1,Flipkart Customer,Unsatisfactory,Battery drain is very fast and over heating issue,1,0,0,1,0
flipkart1,Sandeep Sahani,Mind-blowing purchase,Good phone good camera,5,0.744,0,0.256,0.7003
flipkart1,sreenu Anu,Nice product,value for money 🤩🤩🤩,4,0.444,0,0.556,0.34
flipkart1,Ishant Bhagat,Useless product,Not good,1,0,0.706,0.294,-0.3412
flipkart1,Manoj kumar  Gupta,Awesome,Nice phone,5,0.737,0,0.263,0.4215
flipkart1,Asish kumar,Worthless,This is Ip 68 certified....what a jock back panel is open,1,0,0,1,0
flipkart1,Flipkart Customer,Brilliant,Best one,5,0.808,0,0.192,0.6369
flipkart1,Flipkart Customer,Decent product,I have using only in 5 mins but Battery was over heated,3,0,0,1,0
flipkart1,Raja Sekhar Kallu,Fair,Over heating,3,0,0,1,0
flipkart1,Prasad Kedare,Super!,Camera sony,5,0,0,1,0
flipkart1,Gaurav Makwana,Super!,Good hand-inexperience.,5,0.744,0,0.256,0.4404
flipkart1,Binod  Sahu,Excellent,Nice moto,5,0.737,0,0.263,0.4215
flipkart1,Nitish Patil,Good,Display is goodDesign is goodCamera performance is below average.,3,0,0,1,0
flipkart1,Ashutosh singh Suryavanshi,Best in the market!,Good product at this range.Camera is too goodLook also so niceOverall good smartphone.,5,0.356,0,0.644,0.7251
flipkart1,Imtiyaz Bashir,Awesome,Superb Product,5,0.804,0,0.196,0.6249
flipkart1,Sagar Chatkwar,Fair,Heating issue and some time touch not working properly Slow performance,3,0,0,1,0
flipkart1,Sushil  Kumar ,Value-for-money,All good but battery is very fast drain or hit,4,0.178,0,0.822,0.2382
flipkart1,Suresh Kumawat,Useless product,"Bad performance for this phone screen damaged in one day, 😔😔",1,0,0.416,0.584,-0.7506
flipkart1,Flipkart Customer,Awesome,"Awesome design awesome camera and awesome performance , must buy phone",5,0.637,0,0.363,0.9231
flipkart1,SATYA NARAYAN  Yadav ,Wonderful,Overall good,4,0.744,0,0.256,0.4404
flipkart1,Nirakar Bisoi,Pretty good,Nice phone,4,0.737,0,0.263,0.4215
flipkart1,vaibhav  sonawane,Delightful,Good product,4,0.744,0,0.256,0.4404
flipkart1,Arun Karer,Wonderful,It's awesome very nice 👍,5,0.782,0,0.218,0.8016
flipkart1,Shivam Choudhary,Simply awesome,"Brother, it is a very good Motorola mobile phone as per its price.",5,0.225,0,0.775,0.4927
flipkart1,Sekh Ibratullah,Hated it!,Heating problem and front camera stable problem,1,0.19,0.466,0.345,-0.4939
flipkart1,Rohith Kaipakam,Highly recommended,Camera performance is so better,5,0.483,0,0.517,0.5777
flipkart1,praveen maurya,Terrible product,Big big Heating issue and camera lagging and also no software update after launched a big disappointed to choose it,1,0.063,0.31,0.628,-0.7096
flipkart1,Flipkart Customer,Excellent,Best mid range smartphone ..,5,0.512,0,0.488,0.6369
flipkart1,Arun  Singh,Wonderful,It's amazing mobile for all types camera processor design,5,0.322,0,0.678,0.5859
flipkart1,Ratna Prakash,Decent product,Poor camera and battery.Rest all is good,3,0.264,0.282,0.455,-0.0516
flipkart1,Aarif  Nabi,Really Nice,"Overall scenario is that it is a sleek, good designed phone.The plus point is that it has IP68 rating under this price category and wireless charging. Camera is average not so good not so bad, battery is average and it could have been better if equiped with 5000 mah capacity. The thing that is irritating is that you do not get pre installed gallery and file manager in this phone. To access the gallery either you have to go to camera and then access it from their or install a 3rd party app fo...",4,0.14,0.029,0.831,0.8877
flipkart1,Dheeraj Karki,Best in the market!,Very nice phone . Camera quality is awesome. Battery backup slightly low but decent.,5,0.287,0.088,0.625,0.4927
flipkart1,Akshay Birajdar,Terrible product,Facing a heavy mobile heat up issue,1,0,0,1,0
flipkart1,Yogesh Ingale,Expected a better product,"Finger print sensor, was not recognizing sometimes, in a day stopped working.. had to put PIN every time. Unable to add/ update finer print again. had to try 15-20 time to install and start OLA app, after authenticating via a Phone call, app wont proceed further.. very disappointing, MS OneDrive app keeps crashing again and again, now it just opens and closes immed. Very disappointed.. tried lots of issues and virtually NO return policy, Flipkart shows, contact Brand, link shown doesn't wor...",2,0,0.098,0.902,-0.8088
flipkart1,Muthyam Muddam,Really Nice,Value for money,4,0.545,0,0.455,0.34
flipkart1,Amit Kumar  Mohanty ,Super!,Nice,5,1,0,0,0.4215
flipkart1,Manoj Ghadge,Wonderful,Phone is good for day to day use and  littel bit heating issue after 10 to 15 min uses overall a good phone with respectfull price,4,0.201,0,0.799,0.7003
flipkart1,Flipkart Customer,Pretty good,"I am saying my honest review after 3 days of usage. Battery and camera is problem that was said by many reviewers. In my view , battery is draining little bit quick but 68 w charger gives u charge very fast so battery no problem. Camera is bit decent for the price range but still could have improved. Performance no lag for normal users. Lot of advantage like premium design , smooth refresh, moto unique stock Android experience.but 3.5 mm jack is missing overall decent buy.",4,0.121,0.178,0.702,-0.6893
flipkart1,Deepak Sonkar,Pretty good,Nice product,4,0.737,0,0.263,0.4215
flipkart1,Deepak Verk,Nice,Very nice mobile in this and more than this price range.,3,0.236,0,0.764,0.4754
flipkart1,Sanil Mayekar ,Very poor,Display quality is bad.,1,0,0.538,0.462,-0.5423
flipkart1,Jeevan Prasad S,Wonderful,"Overall a good mobile in this price range.Pros: Sleek design, 1.5k display, light weightCons: Brightness issue on HDR playing, less battery and heating in charging and camera app",5,0.233,0,0.767,0.743
flipkart1,Rajkmari Prabhabati Singha,Worth every penny,satisfied,5,1,0,0,0.4215
flipkart1,Rahul  Maji,Very poor,battery backup  very low 😡😡😡,1,0,0.374,0.626,-0.3384
flipkart1,Hemant kumar sahu,Highly recommended,Motorola edge 50pro very good mobile phone,5,0.347,0,0.653,0.4927
flipkart1,Evan Haris,Mind-blowing purchase,Nothing to say...Just buy it❤️❤️❤️,5,0,0,1,0
flipkart1,MURALIKRISHNA M,Does the job,Phone hangs constantly when deleting photos and overheats and has poor camera quality not upto the mark of 50mp . Design and look is good but it is troublesome to hold the mobile while overheats .,3,0.049,0.165,0.786,-0.6757
flipkart1,Suman Biswas,Useless product,The phone heats up very quickly. Battery backup is very poor. Camera is good but not much time for processing. There are problems with multitasking. Does not work properly while playing games.,1,0.11,0.152,0.739,-0.3811
flipkart1,RUSHIKESH Shinde,Super!,Everything is good expect delivery... Too late delivery,5,0.293,0,0.707,0.4404
flipkart1,sumit,Mind-blowing purchase,"Superb phone in this price range..Pro :Top notch display and designClean UI experience, 256gb spaceGood performance overallCamera is niceCons:Heats up slightly in heavy usageSlippery to hold for sides",1,0.185,0,0.815,0.7096
flipkart1,Ezaz  Ahmed ,Fair,Good phone but it's hanging on the first f,3,0.218,0,0.782,0.2382
flipkart1,SUBHASISH SAHOO,Excellent,The low light camera could be better however in budget you will get a premium one 😍😍loved this,5,0.145,0.105,0.75,0.2023
flipkart1,Sanjay Kumar  Saw,Good choice,"Nice experience, everything is good . Design,Rear camera, battery backup for 4500 mh are awesome but selfie camera for 50 mp is not up to mark and during charging little bit heating experience.I hope MOTOROLA after update it will be remove.",4,0.222,0,0.778,0.85
flipkart1,Dipesh Kapadiya,Best in the market!,"Phone with top features, considering price, having clean UI, good performance, good camera and many things, good work Moto.",5,0.485,0,0.515,0.9042
flipkart1,Lokesh S,Awesome,It's simply awesome....nice one,5,0,0,1,0
flipkart1,Sanmitra Pandhare,Simply awesome,"Best 5G phone, purchased this phone on the first sale ,  only cons i have faced is phone has heating issues and battery life of this phone is poor.",5,0.13,0.096,0.774,0.2732
flipkart1,Mohd Rahman,Did not meet expectations,Please don't buy it.... guyz don't spend your money on waste product... Motorola edge 50pro is waste phone,1,0.1,0.245,0.655,-0.5106
flipkart1,Rajneesh Saini,Terrific purchase,Best phone this sagemet but salfe cam not good 50 MF rear cam is very good,5,0.119,0.285,0.596,-0.56
flipkart1,Mahesh Saladi,Brilliant,"All rounder product, satisfied",5,0.483,0,0.517,0.4215
flipkart1,Kedar Nandan Bhadra,Awesome,All good,5,0.744,0,0.256,0.4404
flipkart1,Prateek Panigrahi,Excellent,"Overally It's a good phone as per it's looks, battery performance, faster charging, and 5G supportive, Good Camera Quality But It Have Heating Issue",5,0.216,0,0.784,0.5423
flipkart1,Rachit Baid,Fabulous!,"Pros:1. Great battery life and fast charging (20-30 mins for full charge from 0-100%)2. The camera is accurate in terms of color reproduction3. Super clean UI. Close to stock Android experience 4. Speakers are good 5. Design is premium and the phone is sleek 6. Display is one of the best 7. Performance of the phone is good. No lag anywhere in day to day usageNot a gamer but played cod and bgmi for testing, worked smooth in extreme+hdrCons:1. Camera post processing and the camera a...",5,0.172,0.034,0.794,0.9032
flipkart1,Flipkart Customer,Decent product,Camera quality so bad not focus properly 👎Display super,3,0.253,0.292,0.455,-0.1509
flipkart1,Bharath  KUMAR,Super!,Good,5,1,0,0,0.4404
flipkart1,Flipkart Customer,Terrific,Fantastic phone best for teenagers,5,0.722,0,0.278,0.8316
flipkart1,Paul Godinho,Just wow!,Love the Moto Edge 50 pro... At this price you get more than one can expect.,5,0.219,0,0.781,0.6369
flipkart1,Nitesh  Shankhalpara,Just okay,Battery life very poor,3,0,0.531,0.469,-0.5256
flipkart1,Jesu Antony Raj M,Perfect product!,Overall good. But battery is 4500w so easily drained.,5,0.388,0.232,0.38,0.3521
flipkart1,Suraj Prakash,Value-for-money,Pros.* Looks wise this phone is awesome.* Back cameras are very good. * Display and sound quality is up to the mark.Cons* Little heating issue while charging or performing heavy tasks but it isn't impacting the performance.* Battery performance isn't as expected.Rest everything is good.,4,0.171,0,0.829,0.8144
flipkart1,Amol Kekan,Utterly Disappointed,Ip68 not good Back fitting issues with my phone,1,0,0.231,0.769,-0.3412
flipkart1,Dharmender,Brilliant,"Amazing Display, very premium design, i love it to buy🥰",5,0.541,0,0.459,0.8505
flipkart1,Ramakant  sahu,Worth the money,Macro is superb at this price.,4,0.451,0,0.549,0.6249
flipkart1,Vinay H B,Really Nice,The photos are highly natural and have good colour combinations due to AI and display was more than expected. Battery is ok.,4,0.293,0,0.707,0.7841
flipkart1,Dr. Samsul Haque Ansary,Very good device but the battery ........,"The phone is performing very good specially the camera and display are wonderful. Charge speed is satisfactory, but the battery is draining very quickly which reduce the credibility of the phone. This is one major downside of this Motorola phone. Low battery backup leads to less confidence in mind while using the phone outside for important works. As per specification Motorola should give the battery capacity to at least 5000 mh. Otherwise the phone is very good for regular user and provide b...",4,0.172,0.053,0.774,0.8897
flipkart1,Sudhakar  More,Terrific,Full justice for money .,5,0.531,0,0.469,0.5267
flipkart1,Mahesh Panchal,Great product,One the best Gadget 😇Hello Moto,5,0.457,0,0.543,0.6369
flipkart1,Flipkart Customer,Brilliant,You can buy without seeing anything..,5,0,0,1,0
flipkart1,PULI GOVARDHAN,Super!,Good,5,1,0,0,0.4404
flipkart1,Virjoo Sarkar,Best in the market!,Night camera sort Next level photos,5,0,0,1,0
